N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
4024,Software Engineer,C#/.NET,,2,менше 3 місяців,2000,1500,Львів,до 200 осіб,Аутстафінгова,чоловіча,21,Вища,ЛНУ ім. Франко,True,Advanced (просунутий),"Веб-розробка,Корпоративні системи",14/06/2017 15:12:23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,2000,,DEV,1678.630073800738
4025,HR,,,2,менше 3 місяців,1500,900,Київ,до 200 осіб,Аутсорсингова,жіноча,29,Кандидат,Інший ВНЗ,False,Advanced (просунутий),Інше,14/06/2017 15:17:17,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,1500,,,850.2834008097166
4026,Software Engineer,Python,,3,менше 3 місяців,2400,1000,Львів,до 200 осіб,Аутсорсингова,чоловіча,25,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",14/06/2017 15:21:29,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,2400,,DEV,1678.630073800738
4027,QA engineer,,Manual QA,2,2,1600,600,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,23,Вища,НАУ,False,Intermediate (середній),Embedded,14/06/2017 15:22:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1600,,QA,1176.7046070460704
4028,Team lead,,,9,0.5,4200,1200,Львів,до 1000 осіб,Аутстафінгова,чоловіча,30,Середня,,False,Intermediate (середній),"Веб-розробка,Телекомунікації",14/06/2017 15:27:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,0.5,4200,,PM,2836.3289473684213
4029,Software Engineer,Java,,3,менше 3 місяців,2000,700,Дніпро,до 1000 осіб,Продуктова,чоловіча,28,Вища,НГУ [Дніпро],False,Intermediate (середній),Gamedev,14/06/2017 15:28:36,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.92 Mobile Safari/537.36",3.0,0.0,2000,,DEV,1678.630073800738
4030,Project manager,,,3,0.25,1000,0,Київ,до 200 осіб,Продуктова,жіноча,23,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Веб-розробка,14/06/2017 15:36:29,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",3.0,0.25,1000,,PM,1512.8463611859838
4031,Junior Software Engineer,Java,,1.5,0.25,500,0,Чернівці,до 50 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),Веб-розробка,14/06/2017 15:41:27,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.25,500,,DEV,605.65859375
4032,Software Engineer,Other,,1.5,1.5,1100,300,Дніпро,до 1000 осіб,Продуктова,чоловіча,36,Вища,НметАУ,False,Intermediate (середній),"Веб-розробка,Інше",14/06/2017 15:41:51,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,1.5,1100,,DEV,1678.630073800738
4033,Junior Software Engineer,C#/.NET,,1,1,1050,1050,Харків,до 200 осіб,Аутстафінгова,чоловіча,22,Вища,ДонНТУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",14/06/2017 15:42:29,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,1050,,DEV,605.65859375
4034,Senior QA engineer,,Automation QA,3,1,2280,800,Київ,до 1000 осіб,Аутсорсингова,чоловіча,37,Вища,КНУ ім. Шевченко,False,Intermediate (середній),Корпоративні системи,14/06/2017 15:42:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2280,,QA,2385.536121673004
4035,Software Engineer,PHP,,8,8,1700,100,Чернівці,до 50 осіб,Аутсорсингова,чоловіча,30,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Веб-розробка,14/06/2017 15:42:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,8.0,1700,,DEV,1678.630073800738
4036,Senior Software Engineer,APL,,6,6,2250,150,Київ,до 200 осіб,Продуктова,чоловіча,31,Дві вищих,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,14/06/2017 15:44:29,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,6.0,6.0,2250,,DEV,3243.2009259259257
4037,Senior QA engineer,,Automation QA,9,0.5,3000,0,Харків,до 200 осіб,Аутсорсингова,чоловіча,30,Вища,ХАІ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",14/06/2017 15:46:24,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",9.0,0.5,3000,,QA,2385.536121673004
4038,Junior Software Engineer,PHP,,3,2,380,0,Віддалено,до 10 осіб,Продуктова,чоловіча,26,Вища,ОНУ ім. Мечникова,False,Elementary (початковий),Веб-розробка,14/06/2017 15:47:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,380,,DEV,605.65859375
4039,Support,,,10 і більше років,5,600,0,Київ,до 50 осіб,Продуктова,чоловіча,34,Вища,Інший ВНЗ,False,Intermediate (середній),"Desktop Applications,Корпоративні системи",14/06/2017 15:49:48,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,5.0,600,,,817.3391304347826
4040,Sysadmin,,,5,5,750,150,Київ,до 10 осіб,Інша,чоловіча,30,Вища,ГУТ,False,Advanced (просунутий),Корпоративні системи,14/06/2017 15:50:00,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,750,,,773.5426356589147
4041,Senior Software Engineer,PHP,,7,1,2750,250,Київ,до 200 осіб,Продуктова,чоловіча,30,Вища,КНУТД,False,Intermediate (середній),"Веб-розробка,eCommerce",14/06/2017 15:50:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,1.0,2750,,DEV,3243.2009259259257
4042,Junior QA engineer,,General QA,0.5,0.5,500,300,Одеса,до 10 осіб,Аутсорсингова,чоловіча,27,Вища,ОНПУ,False,Upper-Intermediate (вище середнього),Веб-розробка,14/06/2017 15:50:25,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,500,,QA,482.7747524752475
4043,Senior Software Engineer,Java,,9,7,2200,0,Дніпро,до 200 осіб,Продуктова,чоловіча,32,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Фінанси та банкінг,14/06/2017 15:50:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",9.0,7.0,2200,,DEV,3243.2009259259257
4044,Software Engineer,Ruby/Rails,,1,1,1400,1200,Харків,до 200 осіб,Аутсорсингова,чоловіча,21,Вища,ХНУРЕ,False,Intermediate (середній),Веб-розробка,14/06/2017 15:51:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.0,1.0,1400,,DEV,1678.630073800738
4045,Designer,,,5,3,1500,0,Харків,до 1000 осіб,Продуктова,жіноча,29,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,14/06/2017 15:51:33,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",5.0,3.0,1500,,,1134.1614349775784
4046,Software Engineer,C++,,1,менше 3 місяців,1200,700,Одеса,до 10 осіб,Стартап,чоловіча,22,Вища,ОНПУ,True,Upper-Intermediate (вище середнього),"Фінанси та банкінг,Інше",14/06/2017 15:52:16,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,1200,,DEV,1678.630073800738
4047,Junior Software Engineer,JavaScript,,1.5,0.5,250,0,Одеса,до 10 осіб,Інша,чоловіча,25,Вища,ОНПУ,False,Intermediate (середній),Веб-розробка,14/06/2017 15:52:26,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,250,,DEV,605.65859375
4048,Project manager,,,1.5,1.5,800,500,Запоріжжя,до 50 осіб,Аутсорсингова,жіноча,26,Вища,ЗНТУ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",14/06/2017 15:52:40,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,1.5,800,,PM,1512.8463611859838
4049,Junior Software Engineer,JavaScript,,0.5,0.5,500,300,Київ,до 200 осіб,Аутсорсингова,чоловіча,22,Середня,,False,Pre-intermediate (нище середнього),Веб-розробка,14/06/2017 15:52:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,500,,DEV,605.65859375
4050,Designer,,,4,3,2500,0,Київ,до 1000 осіб,Продуктова,чоловіча,34,Неповна Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"Веб-розробка,Gamedev",14/06/2017 15:54:51,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,2500,,,1134.1614349775784
4051,QA engineer,,Automation QA,10 і більше років,0.5,2900,600,Одеса,до 200 осіб,Продуктова,чоловіча,32,Вища,ОНПУ,False,Intermediate (середній),Веб-розробка,14/06/2017 15:56:15,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,2900,,QA,1176.7046070460704
4052,Junior QA engineer,,Manual QA,менше 3 місяців,менше 3 місяців,300,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,29,Технікум / Коледж,,False,Upper-Intermediate (вище середнього),"Desktop Applications,Веб-розробка",14/06/2017 15:56:53,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.0,0.0,300,,QA,482.7747524752475
4053,Software Engineer,Java,,0.5,0.25,850,0,Київ,до 200 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,НТУУ «КПІ»,True,Pre-intermediate (нище середнього),"Фінанси та банкінг,Корпоративні системи",14/06/2017 15:57:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.25,850,,DEV,1678.630073800738
4054,Support,,,6,0.5,450,100,Київ,до 1000 осіб,Інша,чоловіча,30,Вища,НАУ,False,Intermediate (середній),Телекомунікації,14/06/2017 15:58:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,0.5,450,,,817.3391304347826
4055,DevOps,,,2,0.5,1700,-200,Віддалено,до 200 осіб,Аутсорсингова,чоловіча,31,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"Веб-розробка,Системне програмування",14/06/2017 15:59:01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",2.0,0.5,1700,,ADM,2162.6882352941175
4056,Senior Software Engineer,PHP,,9,5,1200,100,Одеса,до 10 осіб,Продуктова,чоловіча,32,Вища,ОНУ ім. Мечникова,False,Pre-intermediate (нище середнього),Телекомунікації,14/06/2017 16:01:51,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,5.0,1200,,DEV,3243.2009259259257
4057,Software Engineer,JavaScript,,2,0.25,1800,0,Київ,до 10 осіб,Продуктова,чоловіча,36,Вища,ДонНТУ,False,Intermediate (середній),Веб-розробка,14/06/2017 16:03:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.25,1800,,DEV,1678.630073800738
4058,Junior Software Engineer,JavaScript,,1.5,0.5,700,0,Харків,до 1000 осіб,Аутсорсингова,жіноча,27,Вища,НТУ «ХПІ»,False,Intermediate (середній),Веб-розробка,14/06/2017 16:09:31,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,700,,DEV,605.65859375
4059,Designer,,,7,0.25,1200,-1000,Львів,більше 1000 осіб,Стартап,жіноча,25,Технікум / Коледж,,False,Advanced (просунутий),"iOS,Веб-розробка",14/06/2017 16:11:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,0.25,1200,,,1134.1614349775784
4060,Senior QA engineer,,General QA,4,0.5,2800,600,Київ,до 50 осіб,Продуктова,чоловіча,27,Вища,НТУУ «КПІ»,False,Intermediate (середній),"Android,iOS",14/06/2017 16:11:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,2800,,QA,2385.536121673004
4061,HTML coder,,,0.25,0.25,400,0,Київ,до 50 осіб,Аутсорсингова,чоловіча,20,Вища,НТУУ «КПІ»,True,Elementary (початковий),Веб-розробка,14/06/2017 16:12:20,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.25,0.25,400,,,550.9935897435897
4062,QA engineer,,General QA,4,менше 3 місяців,1900,300,Київ,до 200 осіб,Продуктова,чоловіча,25,Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),Веб-розробка,14/06/2017 16:15:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.0,1900,,QA,1176.7046070460704
4063,Senior QA engineer,,General QA,6,0.25,3200,1000,Інше,до 200 осіб,Продуктова,жіноча,27,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),Android,14/06/2017 16:16:10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,0.25,3200,,QA,2385.536121673004
4064,Marketing,,,6,5,700,100,Київ,до 10 осіб,Інша,жіноча,26,Вища,КНУ ім. Шевченко,False,Advanced (просунутий),"Desktop Applications,Інше",14/06/2017 16:19:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,5.0,700,,,861.2826086956521
4065,Junior QA engineer,,Manual QA,2,0.5,400,150,Одеса,до 50 осіб,Аутсорсингова,чоловіча,29,Неповна Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),Веб-розробка,14/06/2017 16:20:09,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,400,,QA,482.7747524752475
4066,Senior Software Engineer,PHP,,10 і більше років,1.5,3200,0,Харків,до 10 осіб,Продуктова,чоловіча,27,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Gamedev",14/06/2017 16:23:13,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.12 (KHTML, like Gecko) Maxthon/3.0 Chrome/26.0.1410.43 Safari/535.12",10.0,1.5,3200,,DEV,3243.2009259259257
4067,Junior QA engineer,,Manual QA,0.5,0.5,460,230,Харків,до 1000 осіб,Аутсорсингова,чоловіча,29,Неповна Вища,НТУ «ХПІ»,False,Pre-intermediate (нище середнього),"Desktop Applications,Інше",14/06/2017 16:23:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,460,,QA,482.7747524752475
4068,Software Engineer,PHP,,1.5,0.25,450,100,Київ,до 200 осіб,Аутсорсингова,чоловіча,21,Технікум / Коледж,,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",14/06/2017 16:23:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.5,0.25,450,,DEV,1678.630073800738
4069,Senior Software Engineer,Java,,3,2,1700,200,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,14/06/2017 16:28:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,1700,,DEV,3243.2009259259257
4070,Senior Software Engineer,PHP,,5,1.5,2000,0,Запоріжжя,до 50 осіб,Аутсорсингова,чоловіча,28,Неповна Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,14/06/2017 16:29:15,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.5,2000,,DEV,3243.2009259259257
4071,Designer,,,1.5,0.25,800,800,Київ,до 10 осіб,Інша,жіноча,22,Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),"iOS,Desktop Applications",14/06/2017 16:30:43,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.25,800,,,1134.1614349775784
4072,Software Engineer,Swift,,1.5,0.25,1700,1300,Київ,до 50 осіб,Продуктова,жіноча,31,Неповна Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),Desktop Applications,14/06/2017 16:31:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.1 Safari/603.1.30",1.5,0.25,1700,,DEV,1678.630073800738
4073,Software Engineer,PHP,,3,0.5,1500,750,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,25,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",14/06/2017 16:33:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",3.0,0.5,1500,,DEV,1678.630073800738
4074,Junior Software Engineer,JavaScript,,1.5,1,600,100,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,23,Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",14/06/2017 16:35:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,600,,DEV,605.65859375
4075,QA engineer,,Automation QA,6,1,1700,1500,Одеса,до 50 осіб,Продуктова,чоловіча,41,Вища,ОНПУ,False,Intermediate (середній),Корпоративні системи,14/06/2017 16:37:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,1700,,QA,1176.7046070460704
4076,Software Engineer,C#/.NET,,2,2,1100,300,Київ,більше 1000 осіб,Аутсорсингова,жіноча,24,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Веб-розробка,Інше",14/06/2017 16:37:30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1100,,DEV,1678.630073800738
4077,HR,,,1,1,190,0,Харків,до 1000 осіб,Аутсорсингова,жіноча,23,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Інше,14/06/2017 16:40:55,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,190,,,850.2834008097166
4078,Project manager,,,2,2,2280,200,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,35,Вища,ДНУ ім. Гончара,False,Advanced (просунутий),"iOS,Веб-розробка",14/06/2017 16:42:51,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,2.0,2280,,PM,1512.8463611859838
4079,Senior QA engineer,,General QA,4,4,1900,100,Дніпро,до 200 осіб,Продуктова,жіноча,24,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),Інше,14/06/2017 16:45:12,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,4.0,1900,,QA,2385.536121673004
4080,Software Engineer,Python,,9,2,5400,600,Віддалено,до 10 осіб,Продуктова,чоловіча,34,Вища,ЗНТУ,False,Upper-Intermediate (вище середнього),"Desktop Applications,Інше",14/06/2017 16:45:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,2.0,5400,,DEV,1678.630073800738
4081,Junior Software Engineer,Java,,менше 3 місяців,менше 3 місяців,900,0,Одеса,до 10 осіб,Стартап,чоловіча,24,Вища,Інший ВНЗ,False,Elementary (початковий),"Веб-розробка,Системне програмування",14/06/2017 16:47:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,900,,DEV,605.65859375
4082,Software Engineer,C#/.NET,,2,1,2200,200,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,НТУУ «КПІ»,False,Intermediate (середній),"Android, Веб-розробка",14/06/2017 16:48:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.76 Safari/537.36",2.0,1.0,2200,,DEV,1678.630073800738
4083,Data Scientist / Data Analyst,,,10 і більше років,0.5,400,0,Харків,до 10 осіб,Інша,чоловіча,39,Вища,ДонНТУ,False,Upper-Intermediate (вище середнього),eCommerce,14/06/2017 16:52:13,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,400,,,1544.240506329114
4084,Software Engineer,Java,,10 і більше років,2,1800,0,Черкаси,до 50 осіб,Продуктова,чоловіча,32,Вища,ХАІ,False,Advanced (просунутий),"Веб-розробка,Фінанси та банкінг",14/06/2017 16:52:22,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",10.0,2.0,1800,,DEV,1678.630073800738
4085,Junior Software Engineer,JavaScript,,0.5,0.5,500,0,Віддалено,до 10 осіб,Аутсорсингова,чоловіча,19,Неповна Вища,НАУ,True,Upper-Intermediate (вище середнього),Веб-розробка,14/06/2017 16:53:21,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,500,,DEV,605.65859375
4086,HR,,,1.5,1.5,700,0,Харків,до 200 осіб,Продуктова,жіноча,24,Вища,НТУ «ХПІ»,False,Intermediate (середній),Інше,14/06/2017 16:58:16,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,700,,,850.2834008097166
4087,Junior Software Engineer,JavaScript,,1,менше 3 місяців,700,500,Харків,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,НТУ «ХПІ»,True,Pre-intermediate (нище середнього),Веб-розробка,14/06/2017 16:59:01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,700,,DEV,605.65859375
4088,Project manager,,,менше 3 місяців,менше 3 місяців,800,0,Львів,до 50 осіб,Аутсорсингова,жіноча,34,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"iOS,Веб-розробка",14/06/2017 16:59:40,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.0,0.0,800,,PM,1512.8463611859838
4089,Software Engineer,Java,,1,1,600,200,Інше,до 200 осіб,Продуктова,чоловіча,28,Вища,Інший ВНЗ,False,Intermediate (середній),Gamedev,14/06/2017 17:05:13,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,600,,DEV,1678.630073800738
4090,Business analyst,,,2,менше 3 місяців,300,100,Київ,до 10 осіб,Продуктова,чоловіча,27,Вища,НТУУ «КПІ»,False,Intermediate (середній),Інше,14/06/2017 17:05:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,300,,,1551.5
